Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point	
"B,3"	1_5_101_BsuRI_2005-09-16.fsa	225.48	7799	102925	4936	
"B,4"	1_5_101_BsuRI_2005-09-16.fsa	279.2	126	956	5616	
"B,2"	1_5_101_HpyCH4IV_2005-11-28.fsa	617.23	7293	72140	9791	
"B,3"	1_5_101_HpyCH4IV_2005-11-28.fsa	617.69	7207	64130	9796	
"B,4"	1_5_101_HpyCH4IV_2005-11-28.fsa	618.45	7082	73932	9804	
"Y,2"	1_5_101_BsuRI_2005-09-16.fsa	200.85	5078	50704	4620	
"G,1"	1_5_101_BsuRI_2005-09-16.fsa	225.56	2281	5699	4937	
"Y,3"	1_5_101_BsuRI_2005-09-16.fsa	225.71	873	2161	4939	
"G,2"	1_5_101_BsuRI_2005-09-16.fsa	225.79	2268	10709	4940	
"Y,4"	1_5_101_BsuRI_2005-09-16.fsa	443.43	170	1961	7580	
"Y,2"	1_5_101_HpyCH4IV_2005-11-28.fsa	106.33	6356	60560	3510	
"Y,3"	1_5_101_HpyCH4IV_2005-11-28.fsa	617.88	528	2541	9798	
"B,2"	1_5_102_BsuRI_2005-11-14.fsa	131.98	839	6565	3766	
"B,3"	1_5_102_BsuRI_2005-11-14.fsa	225.21	7896	92919	4955	
"B,4"	1_5_102_BsuRI_2005-11-14.fsa	278.7	281	2084	5619	
"B,2"	1_5_102_HpyCH4IV_2005-11-14.fsa	549.64	150	1487	8978	
"B,3"	1_5_102_HpyCH4IV_2005-11-14.fsa	600.37	548	11236	9534	
"B,4"	1_5_102_HpyCH4IV_2005-11-14.fsa	617.19	7887	74062	9715	
"B,5"	1_5_102_HpyCH4IV_2005-11-14.fsa	617.75	7883	62304	9721	
"B,6"	1_5_102_HpyCH4IV_2005-11-14.fsa	618.31	7715	76435	9727	
"B,7"	1_5_102_HpyCH4IV_2005-11-14.fsa	669.09	55	480	10253	
"B,8"	1_5_102_HpyCH4IV_2005-11-14.fsa	732.27	195	3015	10876	
"Y,2"	1_5_102_BsuRI_2005-11-14.fsa	156.08	383	3161	4082	
"G,1"	1_5_102_BsuRI_2005-11-14.fsa	200.31	76	490	4640	
"Y,3"	1_5_102_BsuRI_2005-11-14.fsa	200.55	4510	41561	4643	
"Y,4"	1_5_102_BsuRI_2005-11-14.fsa	225.37	278	566	4957	
"G,2"	1_5_102_BsuRI_2005-11-14.fsa	225.45	2243	10708	4958	
"G,3"	1_5_102_BsuRI_2005-11-14.fsa	225.93	132	1024	4964	
"Y,5"	1_5_102_BsuRI_2005-11-14.fsa	443.04	235	2802	7531	
"G,1"	1_5_102_HpyCH4IV_2005-11-14.fsa	106.17	103	716	3471	
"Y,2"	1_5_102_HpyCH4IV_2005-11-14.fsa	106.46	7456	68962	3475	
"Y,3"	1_5_102_HpyCH4IV_2005-11-14.fsa	600	362	7137	9530	
"G,2"	1_5_102_HpyCH4IV_2005-11-14.fsa	617.47	2121	12022	9718	
"Y,4"	1_5_102_HpyCH4IV_2005-11-14.fsa	617.75	918	4708	9721	
"G,3"	1_5_102_HpyCH4IV_2005-11-14.fsa	618.12	2236	14771	9725	
"Y,5"	1_5_102_HpyCH4IV_2005-11-14.fsa	726.18	109	1753	10817	
"B,2"	1_5_110_BsuRI_2005-09-16.fsa	131.93	1221	10391	3714	
"B,3"	1_5_110_BsuRI_2005-09-16.fsa	133.05	254	2207	3729	
"B,4"	1_5_110_BsuRI_2005-09-16.fsa	134.47	563	4517	3748	
"B,5"	1_5_110_BsuRI_2005-09-16.fsa	160.17	1577	13548	4087	
"B,6"	1_5_110_BsuRI_2005-09-16.fsa	225.72	389	3113	4930	
"B,7"	1_5_110_BsuRI_2005-09-16.fsa	236.6	660	5815	5070	
"B,8"	1_5_110_BsuRI_2005-09-16.fsa	238.55	417	3505	5095	
"B,9"	1_5_110_BsuRI_2005-09-16.fsa	479.05	878	11737	7994	
"B,2"	1_5_110_HpyCH4IV_2005-11-28.fsa	220.81	660	6043	5096	
"B,3"	1_5_110_HpyCH4IV_2005-11-28.fsa	391.75	1592	23678	7339	
"B,4"	1_5_110_HpyCH4IV_2005-11-28.fsa	599.74	669	14756	9846	
"B,5"	1_5_110_HpyCH4IV_2005-11-28.fsa	605.27	225	3983	9909	
"B,6"	1_5_110_HpyCH4IV_2005-11-28.fsa	612.96	977	20886	9996	
"B,7"	1_5_110_HpyCH4IV_2005-11-28.fsa	616.69	1075	36285	10038	
"Y,1"	1_5_110_BsuRI_2005-09-16.fsa	78.16	535	4486	2985	
"Y,2"	1_5_110_BsuRI_2005-09-16.fsa	84.26	459	4727	3071	
"Y,3"	1_5_110_BsuRI_2005-09-16.fsa	85.04	547	4884	3082	
"Y,4"	1_5_110_BsuRI_2005-09-16.fsa	104.24	174	1256	3345	
"Y,5"	1_5_110_BsuRI_2005-09-16.fsa	156.08	51	212	4034	
"Y,6"	1_5_110_BsuRI_2005-09-16.fsa	157	559	5253	4046	
"Y,7"	1_5_110_BsuRI_2005-09-16.fsa	200.85	173	1329	4609	
"Y,2"	1_5_110_HpyCH4IV_2005-11-28.fsa	106.39	192	1445	3539	
"Y,3"	1_5_110_HpyCH4IV_2005-11-28.fsa	167.83	711	6772	4385	
"Y,4"	1_5_110_HpyCH4IV_2005-11-28.fsa	467.05	177	2331	8274	
"Y,5"	1_5_110_HpyCH4IV_2005-11-28.fsa	565.59	267	4611	9454	
"Y,6"	1_5_110_HpyCH4IV_2005-11-28.fsa	598.85	339	7105	9836	
"Y,7"	1_5_110_HpyCH4IV_2005-11-28.fsa	605.8	123	2030	9915	
"Y,8"	1_5_110_HpyCH4IV_2005-11-28.fsa	615.98	443	9302	10030	
"B,2"	1_5_111_BsuRI_2005-11-14.fsa	82.68	101	536	3121	
"B,3"	1_5_111_BsuRI_2005-11-14.fsa	153.04	63	265	4062	
"B,4"	1_5_111_BsuRI_2005-11-14.fsa	156.24	295	2118	4103	
"B,5"	1_5_111_BsuRI_2005-11-14.fsa	225.41	1014	9401	4976	
"B,6"	1_5_111_BsuRI_2005-11-14.fsa	581.28	59	582	8976	
"B,7"	1_5_111_BsuRI_2005-11-14.fsa	587.05	346	6433	9033	
"B,8"	1_5_111_BsuRI_2005-11-14.fsa	646.98	256	4130	9608	
"B,2"	1_5_111_HpyCH4IV_2005-11-14.fsa	120.21	460	3677	3780	
"B,3"	1_5_111_HpyCH4IV_2005-11-14.fsa	203.63	158	1086	4933	
"B,4"	1_5_111_HpyCH4IV_2005-11-14.fsa	277.55	739	9170	5946	
"B,5"	1_5_111_HpyCH4IV_2005-11-14.fsa	461.44	228	3157	8365	
"B,6"	1_5_111_HpyCH4IV_2005-11-14.fsa	585.96	489	6350	9909	
"B,7"	1_5_111_HpyCH4IV_2005-11-14.fsa	586.37	517	9862	9914	
"B,8"	1_5_111_HpyCH4IV_2005-11-14.fsa	618.05	791	20720	10294	
"Y,2"	1_5_111_BsuRI_2005-11-14.fsa	49.87	220	1777	2638	
"Y,3"	1_5_111_BsuRI_2005-11-14.fsa	200.55	470	4344	4662	
"Y,4"	1_5_111_BsuRI_2005-11-14.fsa	442.9	51	481	7541	
"Y,5"	1_5_111_BsuRI_2005-11-14.fsa	495.69	61	553	8098	
"Y,6"	1_5_111_BsuRI_2005-11-14.fsa	580.38	54	281	8967	
"Y,7"	1_5_111_BsuRI_2005-11-14.fsa	580.98	81	1064	8973	
"Y,8"	1_5_111_BsuRI_2005-11-14.fsa	586.04	237	5209	9023	
"Y,9"	1_5_111_BsuRI_2005-11-14.fsa	645.15	191	3722	9591	
"Y,2"	1_5_111_HpyCH4IV_2005-11-14.fsa	96.29	107	759	3442	
"Y,3"	1_5_111_HpyCH4IV_2005-11-14.fsa	97.55	376	3252	3460	
"Y,4"	1_5_111_HpyCH4IV_2005-11-14.fsa	106.43	1063	9688	3586	
"Y,5"	1_5_111_HpyCH4IV_2005-11-14.fsa	131.54	308	2604	3940	
"Y,6"	1_5_111_HpyCH4IV_2005-11-14.fsa	358.47	454	7235	7026	
"Y,7"	1_5_111_HpyCH4IV_2005-11-14.fsa	585.3	333	9934	9901	
"B,2"	1_5_117_BsuRI_2005-09-16.fsa	129.99	107	607	3667	
"B,3"	1_5_117_BsuRI_2005-09-16.fsa	145.79	911	7239	3875	
"B,4"	1_5_117_BsuRI_2005-09-16.fsa	225.62	697	5873	4883	
"B,5"	1_5_117_BsuRI_2005-09-16.fsa	231.28	273	2066	4954	
"B,6"	1_5_117_BsuRI_2005-09-16.fsa	236.47	367	3170	5019	
"B,7"	1_5_117_BsuRI_2005-09-16.fsa	638.22	336	5447	9441	
"B,8"	1_5_117_BsuRI_2005-09-16.fsa	735.59	3234	71758	10307	
"B,2"	1_5_117_HpyCH4IV_2005-11-28.fsa	73.5	897	7738	2991	
"B,3"	1_5_117_HpyCH4IV_2005-11-28.fsa	597.59	417	7718	9203	
"B,4"	1_5_117_HpyCH4IV_2005-11-28.fsa	612.96	476	8988	9355	
"B,5"	1_5_117_HpyCH4IV_2005-11-28.fsa	617.66	453	8481	9401	
"B,6"	1_5_117_HpyCH4IV_2005-11-28.fsa	735.21	3755	101019	10478	
"Y,2"	1_5_117_BsuRI_2005-09-16.fsa	84.21	259	1890	3057	
"Y,3"	1_5_117_BsuRI_2005-09-16.fsa	154.46	402	3216	3987	
"Y,4"	1_5_117_BsuRI_2005-09-16.fsa	197.99	126	880	4535	
"Y,5"	1_5_117_BsuRI_2005-09-16.fsa	200.79	337	2722	4570	
"Y,6"	1_5_117_BsuRI_2005-09-16.fsa	635.35	192	2762	9414	
"Y,7"	1_5_117_BsuRI_2005-09-16.fsa	730.68	1808	37739	10265	
"Y,2"	1_5_117_HpyCH4IV_2005-11-28.fsa	106.33	388	3716	3446	
"Y,3"	1_5_117_HpyCH4IV_2005-11-28.fsa	106.93	186	1108	3454	
"Y,4"	1_5_117_HpyCH4IV_2005-11-28.fsa	220.93	380	3635	4933	
"Y,5"	1_5_117_HpyCH4IV_2005-11-28.fsa	565.86	121	1601	8883	
